# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	47733
#@/user_id	macOS
bu ke 	不可	c=6 d=7.83638e-16 t=47733
bu ke 	補課	c=1 d=3.699e-36 t=47733
bu ke neng 	不可能	c=3 d=4.67015e-14 t=47733
bu ke yong 	不可用	c=2 d=2.54838e-20 t=47733
bu kong 	布控	c=1 d=2.2685e-19 t=47733
bu kuai 	不快	c=1 d=0.00164502 t=47733
bu kui 	不愧	c=1 d=2.14929e-31 t=47733
bu leng 	不冷	c=1 d=2.02303e-54 t=47733
bu li wo 	不理我	c=1 d=4.75204e-42 t=47733
bu liang 	不亮	c=2 d=1.23108e-34 t=47733
bu liao 	不了	c=51 d=0.326231 t=47733
bu mai 	不買	c=5 d=4.88927e-24 t=47733
bu ming 	不明	c=0 d=9.44141e-61 t=47733
bu neng 	不能	c=53 d=0.0492927 t=47733
bu neng shan 	不能刪	c=1 d=7.85532e-14 t=47733
bu nong 	布農	c=1 d=1.93407e-25 t=47733
bu pai chu 	不排除	c=1 d=8.71701e-62 t=47733
bu pao 	不跑	c=1 d=9.90659e-67 t=47733
bu pei zhi 	不配置	c=1 d=1.37236e-18 t=47733
bu qi 	不起	c=3 d=4.2637e-31 t=47733
bu qi lai 	不起來	c=0 d=3.67543e-50 t=47733
bu qiang 	不搶	c=3 d=7.89989e-08 t=47733
bu qing chu 	不清楚	c=6 d=0.000297529 t=47733
bu qu 	不去	c=5 d=6.83157e-19 t=47733
bu qu fen 	不區分	c=2 d=2.48686e-12 t=47733
bu quan 	補全	c=4 d=8.82317e-29 t=47733
bu que ding 	不確定	c=1 d=5.19867e-40 t=47733
bu ran 	不然	c=3 d=7.69716e-10 t=47733
bu rang 	不讓	c=1 d=2.30638e-08 t=47733
bu rong na 	不容納	c=1 d=4.46541e-16 t=47733
bu shan 	不刪	c=1 d=1.209e-27 t=47733
bu shang 	不上	c=5 d=1.82532e-09 t=47733
bu shang 	補上	c=1 d=2.42291e-29 t=47733
bu shang lai 	不上來	c=1 d=8.09318e-12 t=47733
bu shang qu 	不上去	c=1 d=3.0945e-25 t=47733
bu shao 	不少	c=1 d=9.64096e-12 t=47733
bu sheng xiao 	不生效	c=5 d=0.540641 t=47733
bu shi 	不是	c=123 d=0.0334973 t=47733
bu shi luan ma 	不是亂碼	c=1 d=1.36218e-48 t=47733
bu shi shuo 	不是說	c=1 d=1.57854e-47 t=47733
bu shi ya 	不是呀	c=1 d=2.35162e-60 t=47733
bu shu 	布署	c=5 d=6.20536e-12 t=47733
bu shu xi 	不熟悉	c=1 d=7.11384e-24 t=47733
